INFO  - 2017-06-17 18:32:04.756; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.756; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.757; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-06-17 18:32:04.757; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.758; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.758; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.759; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-06-17 18:32:04.759; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-06-17 18:32:04.760; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.760; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.760; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.761; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.761; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.762; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-06-17 18:32:04.762; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.763; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2017-06-17 18:32:04.763; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2017-06-17 18:32:04.763; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2017-06-17 18:32:04.764; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.764; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.765; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.765; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.765; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-06-17 18:32:04.766; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.767; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.769; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.769; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.769; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-06-17 18:32:04.770; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-06-17 18:32:04.770; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-06-17 18:32:04.770; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.771; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-06-17 18:32:04.771; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-06-17 18:32:04.772; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.774; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-06-17 18:32:04.774; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-06-17 18:32:04.776; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2017-06-17 18:32:04.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-06-17 18:32:04.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2017-06-17 18:32:05.019; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-06-17 18:32:05.029; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2017-06-17 18:32:05.309; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-06-17 18:32:05.321; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2017-06-17 18:32:05.457; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-06-17 18:32:06.188; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-06-17 18:32:06.213; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2017-06-17 18:32:06.215; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2017-06-17 18:32:06.397; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-06-17 18:32:06.405; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-06-17 18:32:06.735; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/
INFO  - 2017-06-17 18:32:06.844; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-06-17 18:32:06.878; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/, dataDir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/
INFO  - 2017-06-17 18:32:06.892; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-06-17 18:32:06.902; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-06-17 18:32:06.942; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-06-17 18:32:07.013; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data
INFO  - 2017-06-17 18:32:07.019; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2017-06-17 18:32:07.020; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-06-17 18:32:07.057; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2017-06-17 18:32:07.150; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-06-17 18:32:07.151; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-06-17 18:32:07.158; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-06-17 18:32:07.159; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-06-17 18:32:07.160; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-06-17 18:32:07.164; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-06-17 18:32:07.165; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-06-17 18:32:07.334; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-06-17 18:32:07.348; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-06-17 18:32:07.348; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
